lr,hidden,ts_lookback,dropout,seed,val_ap,test_ap,val_mse,test_mse,test_f1,epochs_run,sec,error
0.003,128,12,0.1,42,0.914921802884207,0.922978237111832,0.0925368680636637,0.08332822598457594,0.8591062497458626,12,45.8,
0.003,128,12,0.3,42,0.914373224206001,0.921607478021083,0.0923642035371275,0.08375581076606975,0.859438402856679,12,45.5,
0.003,128,24,0.0,42,0.9156131159084334,0.9229152605882152,0.09230587230081055,0.08389770171574425,0.8603513275046123,10,52.9,
0.003,128,24,0.1,42,0.9159092481011497,0.9231600890405661,0.09161850749594438,0.0833396701589528,0.859005905511811,19,76.2,
0.003,128,24,0.3,42,0.9150877445305508,0.9217065864199577,0.09219458412182036,0.08367812461682973,0.8600837821663675,15,60.5,
0.003,128,48,0.0,42,0.9155464015889275,0.9216743789284003,0.09254819205433948,0.0835396778802813,0.8586696894862555,12,81.4,
0.003,128,48,0.1,42,0.9151239443338508,0.9223537333158477,0.09259554184013678,0.08355691295615332,0.8576905820451116,12,79.2,
0.003,128,48,0.3,42,0.9142495049470337,0.9203435347077866,0.09239548899520304,0.08405614683090396,0.8595512383093163,10,68.4,
0.003,256,6,0.0,42,0.9161353925215929,0.9233958004687902,0.09200079873708196,0.08306149502122126,0.8571545917529161,11,56.9,
0.003,256,6,0.1,42,0.9161240444247756,0.9233885759423708,0.09176814912076581,0.08283456728103977,0.858339091906833,12,47.9,
0.003,256,6,0.3,42,0.9144204758004246,0.9211280932119147,0.09239682379148521,0.08400595117728044,0.859598160251755,12,49.2,
0.003,256,12,0.0,42,0.9159137497870125,0.9228040806438752,0.09185386271381514,0.08333104757903914,0.857993881822573,10,63.1,
0.003,256,12,0.1,42,0.9148168476113487,0.9212997301356332,0.09220190352725881,0.08347003301844276,0.8576756252786898,12,63.6,
0.003,256,12,0.3,42,0.914632411871187,0.9215600410222119,0.09209721478948427,0.08412583082539486,0.8588353011807084,10,54.5,
0.003,256,24,0.0,42,0.9159323972311847,0.9228535873598557,0.09210909104673862,0.08398676795316685,0.8592302778664963,10,91.7,
0.003,256,24,0.1,42,0.9152909428333794,0.9232208303459136,0.09258353359803666,0.08269214805890272,0.8593436572253871,13,113.3,
0.003,256,24,0.3,42,0.9151328445865147,0.9221608510792033,0.0923469972394181,0.08419794130035897,0.8592604527511478,17,146.1,
0.003,256,48,0.0,42,0.9157293981857566,0.9232955094606082,0.09213108574327732,0.08328258806098347,0.8593951093951093,10,152.0,
0.003,256,48,0.1,42,0.9152118263004846,0.9220631738746542,0.09224427706770506,0.0835938621204684,0.8588087621978379,12,183.3,
0.003,256,48,0.3,42,0.9144174313870703,0.9214710063365849,0.0925753021145719,0.08409113198858112,0.8572706935123042,12,181.2,
0.003,384,6,0.0,42,0.9160698918726824,0.9238346949692204,0.09157520746371957,0.08301487308185566,0.8574234735635946,19,98.6,
0.003,384,6,0.1,42,0.9159219926618621,0.9222937586794279,0.09232892012851285,0.08326008909217239,0.8588321049647688,12,60.2,
0.003,384,6,0.3,42,0.9144606844522034,0.9212451079487491,0.09271994875057472,0.08366424167170905,0.8590378775771136,12,58.4,
0.003,384,12,0.0,42,0.9154068960828817,0.9220068118778153,0.09243645641073833,0.08384083902204445,0.8596819830231539,15,107.9,
0.003,384,12,0.1,42,0.9153365503243551,0.9225338202865,0.09232561569547876,0.08304614689457447,0.857816054598635,12,83.1,
0.003,384,12,0.3,42,0.9158927883226414,0.923465482224353,0.09240677716683729,0.08381735012155568,0.8584422501741303,19,127.1,
0.003,384,24,0.0,42,0.9157744212633103,0.9222654578235328,0.09265986828766962,0.08426871497366535,0.8575906131961746,10,124.6,
0.003,384,24,0.1,42,0.9157366206972631,0.9215662330445588,0.0929170462732348,0.08468169658600097,0.8578527207559467,20,243.1,
0.003,384,24,0.3,42,0.9144106253012968,0.9213845713232554,0.09276624795083985,0.08408675267738773,0.858032932799288,12,153.2,
0.003,384,48,0.0,42,0.9158392305771708,0.9223362940939247,0.09208838579284798,0.08372086254140726,0.8573950018051265,10,209.4,
0.003,384,48,0.1,42,0.915841885028916,0.9230165277602025,0.09191372370837549,0.08302903724794351,0.8577508593877885,19,408.7,
0.003,384,48,0.3,42,0.9143023075809563,0.9224515318573503,0.09296611163621084,0.0837371599668541,0.8588523471067743,13,282.7,
0.01,128,6,0.0,42,0.914650957815866,0.9214482344931323,0.09261446006427924,0.08506104885151061,0.8585776108434718,8,45.2,
0.01,128,6,0.1,42,0.914116104359168,0.9223218552110142,0.09393225120832971,0.08500845693455177,0.8597677378300985,5,22.1,
0.01,128,6,0.3,42,0.914526188108324,0.9213706991196147,0.09361717912021379,0.08598734218447238,0.8568043469379418,8,30.8,
0.01,128,12,0.0,42,0.9147374753668412,0.9214994383914001,0.09196909529017377,0.08368959990683779,0.8603776604256681,10,49.2,
0.01,128,12,0.1,42,0.9151256991400601,0.9230393407637087,0.09251630430792317,0.08386963681305044,0.8594954591321897,10,38.2,
0.01,128,12,0.3,42,0.9137428061746306,0.9207875885974108,0.0934894833119931,0.08536580744518919,0.8565608832036501,8,31.1,
0.01,128,24,0.0,42,0.9157154697546008,0.9227254771778018,0.09215390084711779,0.08275558850846043,0.8602159168439218,17,76.7,
0.01,128,24,0.1,42,0.9148100266887053,0.9211454063134875,0.0924964632371805,0.08521356326646305,0.8555055259926321,8,36.6,
0.01,128,24,0.3,42,0.9132448857679334,0.9209632088208544,0.09281872178069063,0.08396980008839156,0.859952229299363,10,44.2,
0.01,128,48,0.0,42,0.9141989244558235,0.9219772830618785,0.0925015615035264,0.08367281649610703,0.858815454802374,10,71.8,
0.01,128,48,0.1,42,0.9142256591675422,0.9209295793780748,0.09222841089398334,0.0836270020199201,0.8578245046502224,10,68.2,
0.01,128,48,0.3,42,0.9129582166139861,0.9209229958172791,0.09518620027462706,0.08547113066708086,0.8589898016542198,7,50.6,
