lr,hidden,ts_lookback,fusion_hidden,seed,val_ap,test_ap,val_mse,test_mse,test_f1,epochs_run,sec,error
0.003,384,24,256,42,0.9139908781370669,0.9197319229663784,0.09406603392403687,0.08589431195613513,0.8586999137457854,5,57.4,
0.003,384,48,128,42,0.9157084893905574,0.9220351820674925,0.09208759246283184,0.08329598128326535,0.8562155944458137,11,212.2,
0.003,384,48,256,42,0.9149873726216041,0.9214837617493088,0.09350380766564198,0.0860677306883054,0.8538674833423002,8,148.7,
0.01,128,6,128,42,0.9158651580786513,0.9224261198016478,0.09242456922676154,0.08420557772391046,0.8596004662566823,10,53.2,
0.01,128,6,256,42,0.915440151849684,0.9216350103066002,0.09231727213261065,0.08395502471599395,0.8589934424910488,10,42.5,
0.01,128,12,128,42,0.9142868434655299,0.9212497441534662,0.09437812598397059,0.08503541446963737,0.8596989381150569,5,38.6,
0.01,128,12,256,42,0.9147604428665514,0.9210125617533956,0.09355043894211997,0.08673903866185957,0.8545214084972722,8,38.4,
0.01,128,24,128,42,0.9150313626150426,0.9207352757230653,0.09372480921482758,0.08523259399306346,0.8585114519180453,12,79.0,
0.01,128,24,256,42,0.913951010459597,0.9204605893001093,0.09519856402988446,0.08629339755961654,0.8582809388057954,5,36.8,
0.01,128,48,128,42,0.9145046705684375,0.9216106414812423,0.09293967027419991,0.08451410633824467,0.8600869803706461,5,57.5,
0.01,128,48,256,42,0.9137370620049593,0.9202711329634646,0.09432151156430424,0.08549358252579822,0.859122220035426,5,44.4,
0.01,256,6,128,42,0.9155131336588604,0.9222483598338165,0.09510190108502643,0.08746775434540417,0.8535010759807979,8,46.2,
0.01,256,6,256,42,0.9150680782973601,0.9212602867454696,0.09337152089601164,0.08627940086174611,0.8531897265948633,8,35.2,
0.01,256,12,128,42,0.912999979536234,0.9194514075330172,0.09407910350582019,0.08510907232823417,0.8584820905433381,5,41.3,
0.01,256,12,256,42,0.9135798336161138,0.9201254756057027,0.09380491558538923,0.0848704448691648,0.8589568807696802,5,29.2,
0.01,256,24,128,42,0.9134938923905642,0.9194978834744798,0.0929106492943041,0.08529924608466767,0.8561582013621071,8,73.7,
0.01,256,24,256,42,0.9139127718903658,0.918154373442465,0.09485786723048541,0.08693538680928396,0.8533496232946446,8,63.2,
