lr,hidden_dim,lookback,layers_dropout,seed,val_mse,test_mse,epochs_run,sec,error
0.003,128,96,"(1, 0.0)",42,0.1139230868028869,0.10392762495764213,11,785.9,
0.003,128,96,"(2, 0.2)",42,0.11416547344695972,0.10436899571200088,17,4042.3,
0.01,32,12,"(1, 0.0)",42,0.16835951588355824,0.15927825131839116,10,64.0,
0.01,32,12,"(2, 0.2)",42,0.16843884986162447,0.15948985977680777,8,55.4,
0.01,32,24,"(1, 0.0)",42,0.15499050738466247,0.14661020036029754,13,67.1,
0.01,32,24,"(2, 0.2)",42,0.1550883053609616,0.14625831566630482,12,70.0,
0.01,32,48,"(1, 0.0)",42,0.12699986644409375,0.11536314493695152,13,72.2,
0.01,32,48,"(2, 0.2)",42,0.12727403800033166,0.1163044729505644,11,69.5,
0.01,32,96,"(1, 0.0)",42,0.11275723434749449,0.10256308201045332,13,78.6,
0.01,32,96,"(2, 0.2)",42,0.11323274267237163,0.10362315173620695,13,369.8,
0.01,64,12,"(1, 0.0)",42,0.16863415992986974,0.1592415659026326,6,41.7,
0.01,64,12,"(2, 0.2)",42,0.1687545130230773,0.1592971896021523,12,65.9,
0.01,64,24,"(1, 0.0)",42,0.15500062064626122,0.14645513991331105,9,57.0,
0.01,64,24,"(2, 0.2)",42,0.15581653682191604,0.14694262469655972,8,56.1,
0.01,64,48,"(1, 0.0)",42,0.12729467849030582,0.11530183428867156,12,74.5,
0.01,64,48,"(2, 0.2)",42,0.12723050261392407,0.1164054366064874,16,121.8,
0.01,64,96,"(1, 0.0)",42,0.1127331980990074,0.1020394596225342,9,220.0,
0.01,64,96,"(2, 0.2)",42,0.11442167032627891,0.10497415660000552,15,394.3,
0.01,128,12,"(1, 0.0)",42,0.16840256313901136,0.15959854717930402,6,65.0,
0.01,128,12,"(2, 0.2)",42,0.1686005827251942,0.15914846935057197,10,143.4,
0.01,128,24,"(1, 0.0)",42,0.15539338614512063,0.1473189196354868,7,95.3,
0.01,128,24,"(2, 0.2)",42,0.1565053457408105,0.1478151131069968,6,139.3,
0.01,128,48,"(1, 0.0)",42,0.1271022582196963,0.11534596679716703,15,236.9,
0.01,128,48,"(2, 0.2)",42,0.1275372999218513,0.11615648081830937,9,747.4,
0.01,128,96,"(1, 0.0)",42,0.115333576847834,0.10558665797837377,7,609.1,
0.01,128,96,"(2, 0.2)",42,0.14041938167867138,0.12926224808602224,7,1700.7,
0.001,32,192,"(1, 0.0)",42,0.10587080216079703,0.09530762157728431,16,91.8,
0.001,32,192,"(2, 0.2)",42,0.10763539868406989,0.09801877198005811,9,81.1,
0.001,64,192,"(1, 0.0)",42,0.11540179351819355,0.10574232053348674,5,48.6,
0.001,64,192,"(2, 0.2)",42,0.1040167578815268,0.09345393657024774,29,608.9,
0.001,128,192,"(1, 0.0)",42,0.10620649155885171,0.09599007196738361,10,239.3,
0.001,128,192,"(2, 0.2)",42,0.10475299038671537,0.0941599171882124,19,679.3,
0.003,32,192,"(1, 0.0)",42,0.10633184205828036,0.09589946299576067,14,199.8,
0.003,32,192,"(2, 0.2)",42,0.10544126808110353,0.09546262671917409,13,196.6,
0.003,64,192,"(1, 0.0)",42,0.10577697727908997,0.09538178170816212,18,248.6,
0.003,64,192,"(2, 0.2)",42,0.1051574208780819,0.09513419150069673,13,248.6,
0.003,128,192,"(1, 0.0)",42,0.10720623549361533,0.09738623427616663,8,198.2,
0.003,128,192,"(2, 0.2)",42,0.10569818809965131,0.09502661348623635,9,340.1,
0.01,32,192,"(1, 0.0)",42,0.10535430749364859,0.09458826576820356,8,134.5,
0.01,32,192,"(2, 0.2)",42,0.10642838497216113,0.09594040467804761,8,139.1,
0.01,64,192,"(1, 0.0)",42,0.10508002062273092,0.09382373879993397,8,135.6,
0.01,64,192,"(2, 0.2)",42,0.10572366536656332,0.09439361947528432,9,187.1,
0.01,128,192,"(1, 0.0)",42,0.10676375038528597,0.09662142458837164,12,274.6,
0.01,128,192,"(2, 0.2)",42,0.10883438928021157,0.09693086036373744,12,446.1,
