encoder,variant,seed,val_ap,val_auc,val_mse,val_mae,test_ap,test_auc,test_f1,test_mse,test_mae
cnn,no_graph,46,0.912821532565176,0.9837777232580388,0.0929879302666194,0.104269388853257,0.9179971916352568,0.9841609591571642,0.8579513750498207,0.0847400242950579,0.0958652551534531
cnn,no_temporal,42,0.9169665536788544,0.9848439882893196,0.0899382474868321,0.0995395445617993,0.9237448435904806,0.9851074839595552,0.858785890738266,0.0810177376437221,0.0911114384735869
cnn,no_temporal,43,0.9158084617100232,0.9846424208240048,0.0916365667957122,0.1020308638859613,0.9233486367514594,0.985169497470752,0.8596821329917131,0.0831049127767823,0.0939573661109697
cnn,no_temporal,44,0.9146923052066004,0.984621334415534,0.0930117626507788,0.0994831385745499,0.921400451943442,0.9852129595192652,0.8573521035072014,0.0853875497975949,0.0929781149085107
cnn,no_temporal,45,0.9162433802717074,0.9847641763243268,0.0906407150348616,0.0983768004427151,0.9238611156859629,0.9853395311421698,0.859966525862756,0.0820010062936303,0.091196537814135
cnn,no_temporal,46,0.916361444353756,0.984548201616763,0.0903430005485952,0.1007878585326177,0.9240696562474,0.9849202706674915,0.8591062497458626,0.0816914408698386,0.0931053184664653
cnn,no_pair,42,0.8873526420800034,0.980669019231007,0.0981254272682111,0.1112597016114587,0.8925288989176521,0.981169284227114,0.8399682161303138,0.0903057992482386,0.1017236397166217
cnn,no_pair,43,0.891387054007928,0.9811442353720776,0.0985174009786676,0.1147616768200783,0.8985441670905541,0.9817501237766392,0.842613301942319,0.0912407902530555,0.105668938058531
cnn,no_pair,44,0.8871360720638979,0.9807004013481412,0.0992497737421526,0.1137907824067457,0.8939482477300195,0.981328064581132,0.8414312325364793,0.0917627792929905,0.1045799833274904
cnn,no_pair,45,0.8918965760964491,0.9810739407368166,0.0976895623122185,0.1115967211102777,0.8966001309813953,0.9816031953496472,0.8402438046354961,0.0894827723759075,0.1023386170946806
cnn,no_pair,46,0.8893810615286257,0.9809291542199564,0.100356908492846,0.1160653182235109,0.8932802391789622,0.981213857202686,0.840239850284536,0.0935046799290591,0.107008022102505
gru,pair_only,42,0.9095573388734868,0.9804003895726018,0.0929100203361667,0.1008797976441272,0.9165726688465008,0.9811834320700616,0.8571313326879638,0.0843581188454958,0.0936634645080303
gru,pair_only,43,0.9094136665676368,0.9804580249700554,0.0935687450125759,0.1043630814346058,0.9163331629226986,0.9811222583789532,0.8576720215807062,0.0845780004423449,0.0954592063117001
gru,pair_only,44,0.9076178401938888,0.979411506014082,0.0938192363785766,0.1086761556235998,0.9142258879681212,0.9807719344954736,0.855318123393316,0.0851250174700114,0.0998065408495629
gru,pair_only,45,0.9091595163630156,0.9802542648653964,0.0932675022911879,0.103533075351769,0.9156946303985288,0.9809629385288592,0.8557121511933126,0.0846095861094884,0.0947615008290862
gru,pair_only,46,0.909240731143685,0.9801358119845608,0.0931899836621207,0.1013326303319536,0.9162450089909644,0.981083363022038,0.8564453125000001,0.0847060968735552,0.0932152947573564
cnn,pair_only,42,0.9100958620795384,0.9809740896660452,0.0928956933133554,0.1013611125950388,0.9167169194864466,0.981480075414485,0.8574649702045417,0.0840384507735016,0.0933516433792973
cnn,pair_only,43,0.909606405099854,0.9807297493945228,0.0929895015971789,0.1017064625339068,0.9165397604642848,0.9812737779583224,0.8574636141293452,0.0841109595047966,0.0935232390602013
cnn,pair_only,44,0.909894242630486,0.9810471228237416,0.0931388341003419,0.1008298461201049,0.9166574699844622,0.9811989272942676,0.8563092633114515,0.0844831439169872,0.092320485993788
cnn,pair_only,45,0.9091148684844528,0.9801411438534576,0.0932360186676898,0.1042180690262829,0.915703029089768,0.9809795039121584,0.8558860325275436,0.0843788817888216,0.095107903262006
cnn,pair_only,46,0.9067811738472081,0.979519972823572,0.09419297206633562,0.11436817634505803,0.9123533639557129,0.9802141872805185,0.8563707177489867,0.08560417624775683,0.10589356089969891
