row,idx,station_id,name,cap_z,lat_z,lon_z
128,127,7059.01,11 Ave & W 59 St,-0.7497,1.3334,0.5304
129,128,7084.12,E 81 St & York Ave,0.2048,1.3843,1.7181
130,129,7123.04,W 64 St & Thelonious Monk Circle,0.0388,1.4723,0.5676
131,130,7128.08,E 76 St & Park Ave,-0.5837,1.4193,1.3572
132,131,7207.08,W 70 St & Amsterdam Ave,0.0388,1.5604,0.7521
133,132,7235.13,E 88 St & 1 Ave,-0.1272,1.5915,1.7497
134,133,7288.04,Riverside Dr & W 72 St,-0.0442,1.6779,0.6720
135,134,7311.07,W 78 St & Broadway,-0.1272,1.7849,0.8094
136,135,7323.09,5 Ave & E 87 St,-0.1687,1.7441,1.4258
137,136,7354.01,Central Park West & W 85 St,-0.1687,1.8366,1.1334
138,137,7414.17,3 Ave & E 100 St,-0.6252,1.9489,1.7945
139,138,7432.09,W 89 St & Columbus Ave,0.2463,1.9679,1.1172
140,139,7463.09,E 103 St & Lexington Ave,-0.2932,2.0469,1.7865
141,140,7484.05,W 87 St & West End Ave,0.2048,2.0210,0.9078
142,141,7524.09,West End Ave & W 94 St,-0.4592,2.1934,1.0087
143,142,7541.01,W 95 St & Broadway,-0.4177,2.1784,1.0741
144,143,7577.27,Central Park W & W 103 St,-0.0857,2.2474,1.3670
145,144,7646.04,W 110 St & Amsterdam Ave,0.1218,2.5169,1.3358
146,145,7685.14,Mt Morris Park W & W 120 St,-0.6252,2.5679,1.8343
147,146,7713.11,W 116 St & Broadway,0.0388,2.7258,1.3021
148,147,8358.03,W 180 St & Ft Washington Ave,-0.7497,4.3106,2.0539
149,148,8358.10,Cabrini Blvd & W 177 St,-0.7497,4.2465,1.9684
150,149,HB101,Hoboken Terminal - Hudson St & Hudson Pl,-0.7497,-0.0157,-0.6362
151,150,HB102,Hoboken Terminal - River St & Hudson Pl,0.1633,-0.0108,-0.6017
152,151,HB103,South Waterfront Walkway - Sinatra Dr & 1 St,-0.5007,0.0239,-0.5623
153,152,HB105,City Hall - Washington St & 1 St,-0.8327,0.0383,-0.6557
154,153,HB201,12 St & Sinatra Dr N,-0.5837,0.5407,-0.4522
155,154,HB202,14 St Ferry - 14 St & Shipyard Ln,-0.4177,0.6301,-0.4619
156,155,HB203,Bloomfield St & 15 St,-1.1648,0.6897,-0.5271
157,156,HB301,4 St & Grand St,-0.9987,0.2241,-0.7769
158,157,HB302,6 St & Grand St,-0.9987,0.3053,-0.7590
159,158,HB303,Clinton St & 7 St,-0.9987,0.3440,-0.7245
160,159,HB304,7 St & Monroe St,-0.8327,0.3817,-0.8608
161,160,HB305,9 St HBLR - Jackson St & 8 St,-0.9987,0.4384,-0.8735
162,161,HB401,Southwest Park - Jackson St & Observer Hwy,-0.9157,0.0455,-0.9687
163,162,HB402,Madison St & 1 St,-0.8742,0.0925,-0.8995
164,163,HB404,Mama Johnson Field - 4 St & Jackson St,-0.8327,0.2575,-0.9212
165,164,HB407,Adams St & 2 St,-1.1232,0.1313,-0.8294
166,165,HB408,Marshall St & 2 St,-0.9987,0.1688,-0.9938
167,166,HB409,Clinton St & Newark St,-1.1648,0.0409,-0.7944
168,167,HB501,Columbus Park - Clinton St & 9 St,-0.6667,0.4480,-0.6991
169,168,HB502,11 St & Washington St,-0.7497,0.5172,-0.5438
170,169,HB503,Madison St & 10 St,-0.8742,0.5156,-0.7990
171,170,HB505,Willow Ave & 12 St,-1.1232,0.5886,-0.6383
172,171,HB506,Grand St & 14 St,-0.9572,0.6730,-0.6741
173,172,HB601,Church Sq Park - 5 St & Park Ave,-0.8742,0.2393,-0.6926
174,173,HB602,Stevens - River Ter & 6 St,-0.9987,0.2573,-0.5391
175,174,HB603,8 St & Washington St,-0.8742,0.3654,-0.5745
176,175,HB608,2 St & Park Ave,-1.1232,0.1063,-0.7175
177,176,HB609,River St & 1 St,-0.7497,0.0328,-0.5940
178,177,HB610,Adams St & 12 St,-1.1232,0.5895,-0.7236
179,178,HB611,4 St & River St,-1.1648,0.1693,-0.5513
180,179,JC002,Paulus Hook,-1.1648,-0.8425,-0.7312
181,180,JC003,City Hall,-0.8327,-0.7064,-1.0326
182,181,JC006,Warren St,-0.8327,-0.5777,-0.8630
183,182,JC008,Newport Pkwy,-1.1648,-0.2886,-0.6890
184,183,JC009,Hamilton Park,-0.6667,-0.3322,-1.0444
